,city,country,lat,lon,max_temp,humidity,wind_speed,date,cloudiness
332,la ronge,CA,55.1001,-105.2842,-20.2,69,6.91,1612920757,100
333,mikuni,JP,36.2171,136.1519,42.8,81,6.91,1612920757,40
334,ylojarvi,FI,61.5563,23.5961,10.99,85,2.3,1612920757,75
335,kyshtovka,RU,56.555,76.6271,-21.8,87,6.44,1612920757,85
336,gushikawa,JP,26.3544,127.8686,68.0,64,13.8,1612920757,75
337,kattivakkam,IN,13.2167,80.3167,71.6,78,2.3,1612920196,75
338,tabou,CI,4.423,-7.3528,78.8,90,3.74,1612920214,100
339,leningradskiy,RU,69.3833,178.4167,-25.83,83,11.16,1612920730,0
340,ostrovnoy,RU,68.0531,39.5131,5.81,93,17.31,1612920792,86
341,ust-maya,RU,60.4167,134.5333,-16.65,87,1.36,1612920480,1
342,allanridge,ZA,-27.7543,26.6438,65.79,79,4.85,1612920758,6
343,karratha,AU,-20.7377,116.8463,87.73,40,19.53,1612920192,0
344,lorengau,PG,-2.0226,147.2712,82.47,77,1.74,1612920202,100
345,merauke,ID,-8.4667,140.3333,85.5,70,8.48,1612920758,99
346,kondinskoye,RU,59.6481,67.41,-29.09,85,6.13,1612920734,0
347,kijang,KR,35.2442,129.2139,39.2,35,6.91,1612920758,0
348,imbituba,BR,-28.24,-48.6703,75.2,83,4.61,1612920586,20
349,beloha,MG,-25.1667,45.05,72.46,91,8.79,1612920758,100
350,zeya,RU,53.75,127.2667,-0.4,88,1.83,1612920758,22
351,kaduqli,SD,11.0167,29.7167,66.15,26,7.43,1612920758,95
352,hurghada,EG,27.2574,33.8129,62.6,67,4.61,1612920665,0
353,vao,NC,-22.6667,167.4833,78.31,79,9.71,1612920792,15
354,boa esperanca do sul,BR,-21.9925,-48.3908,66.36,92,5.46,1612920758,63
355,kysyl-syr,RU,63.8986,122.7617,-24.09,84,9.44,1612920209,36
356,cayenne,GF,4.9333,-52.3333,78.8,73,8.05,1612920193,40
357,bodden town,KY,19.2833,-81.25,79.0,78,5.75,1612920758,20
358,constitucion,CL,-35.3333,-72.4167,60.67,89,0.83,1612920200,0
359,talara,PE,-4.5772,-81.2719,74.32,84,7.43,1612920759,53
360,kodino,RU,63.7198,39.6447,-7.67,91,4.07,1612920759,94
361,bani,DO,18.2833,-70.3333,78.01,76,4.0,1612920759,96
362,verkhoyansk,RU,67.5447,133.385,-20.25,80,0.94,1612920759,34
363,najran,SA,17.4924,44.1277,50.0,81,0.94,1612920759,40
364,bushenyi,UG,-0.5853,30.2114,61.52,69,1.9,1612920759,100
365,champerico,GT,14.3,-91.9167,84.2,70,6.91,1612920759,75
366,whitehorse,CA,60.7161,-135.0538,-20.99,62,2.3,1612920793,20
367,cururupu,BR,-1.8283,-44.8683,78.33,81,2.64,1612919914,100
368,san quintin,MX,30.4833,-115.95,56.35,75,7.18,1612920793,100
369,galle,LK,6.0367,80.217,74.32,87,5.88,1612920608,58
